FeatureID,Name,Formula,calc_mw,mz,rt,annot_source,Annot. Source: mzVault Search,CID
Feature2290,Maltotriose,C18 H32 O16,504.1689,522.20273,1.737,mzVault and mzCloud,Full match,871
Feature2289,4-Guanidinobutyric acid,C5 H11 N3 O2,145.08504,146.09231,2.197,mzVault and mzCloud,Full match,500
Feature2285,N-Acetyl-DL-serine,C5 H9 N O4,147.05309,148.06036,1.981,mzVault and mzCloud,Full match,352294
Feature2284,Nicotinic acid,C6 H5 N O2,123.03193,124.03921,2.645,mzVault and mzCloud,Full match,938
Feature2283,Thymine,C5 H6 N2 O2,126.0428,127.05008,5.751,mzVault and mzCloud,Full match,1135
Feature2282,Creatinine,C4 H7 N3 O,113.05881,114.06609,1.474,mzVault and mzCloud,Full match,588
Feature2281,Phenylac-Gly-OH,C10 H11 N O3,193.07371,194.08099,10.719,mzVault and mzCloud,Full match,68144
Feature2280,5-Methylcytidine,C10 H15 N3 O5,257.10098,258.10826,3.375,mzVault,Full match,92918
Feature2279,N-Acetyl-D-mannosamine,C8 H15 N O6,221.08973,222.09701,1.491,mzVault and mzCloud,Full match,439281
Feature2278,N-Acetyl-D-mannosamine,C8 H15 N O6,221.08974,222.09702,1.543,mzVault and mzCloud,Full match,439281
Feature2277,trans-Urocanic Acid,C6 H6 N2 O2,138.04284,139.05012,2.594,mzVault and mzCloud,Full match,736715
Feature2275,Niacinamide,C6 H6 N2 O,122.04788,123.05516,2.977,mzVault and mzCloud,Full match,936
Feature2274,Creatine,C4 H9 N3 O2,131.06936,132.07663,1.587,mzVault and mzCloud,Full match,586
Feature2272,N-Acetylglycine,C4 H7 N O3,117.0425,118.04977,2.214,mzVault,Full match,10972
Feature2271,7-Methylguanine,C6 H7 N5 O,165.06497,166.07225,3.653,mzVault and mzCloud,Full match,135398679
Feature2270,Choline,C5 H13 N O,103.09958,104.10686,1.194,mzVault and mzCloud,Full match,305
Feature2269,Hippuric acid,C9 H9 N O3,179.0581,180.06538,10.013,mzVault and mzCloud,Full match,464
Feature2268,N-Acetyl-L-arginine,C8 H16 N4 O3,216.12208,217.12935,2.382,mzVault and mzCloud,Full match,67427
Feature2267,Hypoxanthine,C5 H4 N4 O,136.03839,137.04567,3.313,mzVault and mzCloud,Full match,135398638
Feature2266,Trigonelline,C7 H7 N O2,137.04757,138.05485,1.447,mzVault and mzCloud,Full match,5570
Feature2264,N-Acetylneuraminic acid,C11 H19 N O9,309.10579,310.11306,1.449,mzVault and mzCloud,Full match,439197
Feature2263,Hypoxanthine,C5 H4 N4 O,136.03842,137.0457,3.445,mzVault and mzCloud,Full match,135398638
Feature2262,Adenine,C5 H5 N5,135.05441,136.06169,2.234,mzVault and mzCloud,Full match,190
Feature2261,L(-)-Pipecolinic acid,C6 H11 N O2,129.07888,130.08616,2.183,mzVault and mzCloud,Full match,849
Feature2260,L(-)-Pipecolinic acid,C6 H11 N O2,129.07887,130.08614,2.37,mzVault,Full match,439227
Feature2258,2-Deoxy-D-glucose,C6 H12 O5,164.06833,182.10216,1.524,mzVault,Full match,108223
Feature2257,2-Deoxy-D-glucose,C6 H12 O5,164.06831,182.10213,1.55,mzVault,Full match,108223
Feature2256,Allantoin,C4 H6 N4 O3,158.04388,159.05116,1.38,mzVault,Full match,204
Feature2254,N-Acetyl-D-galactosamine,C8 H15 N O6,221.08974,222.09702,1.378,mzVault and mzCloud,Full match,35717
Feature2253,1-Methyl adenosine,C11 H15 N5 O4,281.11217,282.11945,7.825,mzVault and mzCloud,Full match,260623
Feature2252,Glycyl-L-leucine,C8 H16 N2 O3,188.11593,189.12321,7.803,mzVault and mzCloud,Full match,92843
Feature2250,N-Acetyl-L-Lysine,C8 H16 N2 O3,188.11596,189.12324,1.561,mzVault,Full match,92907
Feature2248,L-Carnitine,C7 H15 N O3,161.10507,162.11235,1.345,mzVault and mzCloud,Full match,10917
Feature2247,2-Pyrrolidinone,C4 H7 N O,85.05274,86.06002,4.97,mzVault,Full match,12025
Feature2246,Uric acid,C5 H4 N4 O3,168.02827,169.03554,3.084,mzVault and mzCloud,Full match,1175
Feature2245,4-(Acetylamino)butanoic acid,C6 H11 N O3,145.07381,146.08108,6.121,mzVault and mzCloud,Full match,18189
Feature2244,N-Acetyl-L-Lysine,C8 H16 N2 O3,188.11598,189.12326,1.661,mzVault,Full match,92907
Feature2243,(S)-(+)-5-Hydroxymethyl-2-pyrrolidinone,C5 H9 N O2,115.06323,116.0705,3.145,mzVault and mzCloud,Full match,643511
Feature2242,Bicine,C6 H13 N O4,163.08431,164.09159,1.291,mzVault and mzCloud,Full match,8761
Feature2241,Indole-3-carboxaldehyde,C9 H7 N O,145.05267,146.05994,12.165,mzVault and mzCloud,Full match,10256
Feature2240,N-Acetylneuraminic acid,C11 H19 N O9,309.10576,310.11304,1.406,mzVault,Full match,439197
