,mae,medae,mae_med,medae_med,relative_error,comp_medae,mll,system,mean,kernel,n_annotated,repetition,timestamp
0,5.168383402289436,4.496562040091412,5.3233705,4.7332535,0.15652401888791836,0.8009916341984368,-0.31202515959739685,FEM_long,zero,rbf+linear,10,0,1678941322632
1,5.798736579975682,4.9231779359575505,5.9317837,4.7136116,0.16166229111502717,0.9740169987016752,-0.3034217357635498,FEM_long,zero,rbf+linear,10,1,1678941325514
2,6.10307077633678,5.379084051393079,6.663015,6.1939487,0.17690791137410775,1.4720489601597924,-0.48377513885498047,FEM_long,zero,rbf+linear,10,2,1678941327649
3,5.621090272869395,4.734067558603325,5.7618585,4.846405,0.1542635444860042,0.9513887513426973,-0.30268895626068115,FEM_long,zero,rbf+linear,10,3,1678941329769
4,5.357596659906652,4.514854401441404,5.386826,4.5778275,0.147295379149085,1.1537903129678273,-0.6051266193389893,FEM_long,zero,rbf+linear,10,4,1678941331858
5,5.739493718377072,4.29297244956269,5.8488855,4.5367317,0.14769086618747382,1.1888615084333345,-0.5144401788711548,FEM_long,zero,rbf+linear,10,5,1678941333956
6,6.254329077176756,4.948097495561356,6.2767496,4.8580437,0.1725918970310609,1.1917629797993068,-0.6916394233703613,FEM_long,zero,rbf+linear,10,6,1678941336058
7,5.605998976931761,4.272857745835118,5.6601906,4.34494,0.15008108023340655,0.8917118549407176,-18.84288215637207,FEM_long,zero,rbf+linear,10,7,1678941338140
8,5.695568556264181,4.816654869252069,5.7068563,4.9332466,0.13202639969277039,1.1144205655067936,-11.966673851013184,FEM_long,zero,rbf+linear,10,8,1678941340227
9,6.380474459816629,5.748945822008878,6.3151526,5.584141,0.1723217981907333,0.9702626356493139,-5.809210300445557,FEM_long,zero,rbf+linear,10,9,1678941342487
10,0.1483998500718152,0.11184378844253384,0.14582703,0.11074185,0.08584420355514737,1.1149424346646934,0.6478402018547058,RIKEN,zero,rbf+linear,10,0,1678941345120
11,0.1391798895200252,0.11607180518747606,0.13822392,0.11379933,0.0852936083030739,0.999738055111978,0.5579432249069214,RIKEN,zero,rbf+linear,10,1,1678941347759
12,0.17887590082216925,0.13823881084775058,0.17703824,0.13781023,0.10472633931937723,0.7085493337167663,0.8940474390983582,RIKEN,zero,rbf+linear,10,2,1678941349879
13,0.146936108902371,0.10553334091510402,0.14406005,0.10589504,0.08036119379480963,0.8521980806876862,-0.11980028450489044,RIKEN,zero,rbf+linear,10,3,1678941351963
14,0.1686336678900233,0.1285168724263328,0.16357642,0.12404156,0.09461283700007872,1.4472770129999482,0.7649585008621216,RIKEN,zero,rbf+linear,10,4,1678941354182
15,0.13488253586039972,0.10617651518708993,0.13272946,0.105463505,0.0808329368009433,1.2050112032300133,0.6840187311172485,RIKEN,zero,rbf+linear,10,5,1678941356277
16,0.15851870415599445,0.11452619891848936,0.15689722,0.11539173,0.08477865716489548,1.383664848615392,0.5644500255584717,RIKEN,zero,rbf+linear,10,6,1678941358380
17,0.14810579572327381,0.10688780594259573,0.14550646,0.10430312,0.0742276277763967,1.088027988417964,0.8832265734672546,RIKEN,zero,rbf+linear,10,7,1678941360465
18,0.1443337322398028,0.10402676862557891,0.14163695,0.10436702,0.08070078759235162,1.343654134999601,0.0840664803981781,RIKEN,zero,rbf+linear,10,8,1678941362677
19,0.12702126161391442,0.10097541008116062,0.12627201,0.10326648,0.07228363398328191,0.8376269842405862,0.8383710980415344,RIKEN,zero,rbf+linear,10,9,1678941364746
20,0.3885878099917885,0.2851442914966167,0.37061146,0.2579354,0.1603803160518038,0.47920669604545196,0.25410279631614685,LIFE_old,zero,rbf+linear,10,0,1678941366822
21,0.3241659006159389,0.22821537873190545,0.3238567,0.22409177,0.11256729648058005,1.2175290981762386,-0.1659477949142456,LIFE_old,zero,rbf+linear,10,1,1678941368886
22,0.30043094553382665,0.20933639140531746,0.29789132,0.20533252,0.10797379372552864,1.0667780565774647,-0.4210415780544281,LIFE_old,zero,rbf+linear,10,2,1678941370938
23,0.39528774264371,0.312594989414825,0.3955722,0.31338453,0.1841141634337278,1.0065777121273003,-2.2315549850463867,LIFE_old,zero,rbf+linear,10,3,1678941372998
24,0.2861842086180988,0.20528566245961888,0.28393397,0.19292665,0.09583660920136117,1.2657262149946393,0.3247349262237549,LIFE_old,zero,rbf+linear,10,4,1678941375144
25,0.294980014396952,0.22306579904316615,0.2933568,0.21786463,0.10033049005384273,1.0757390363875978,-1.6205085515975952,LIFE_old,zero,rbf+linear,10,5,1678941377213
26,0.29332503254112663,0.2201081813083352,0.2893368,0.21357417,0.11683360346237019,0.6441528946163011,0.3025979697704315,LIFE_old,zero,rbf+linear,10,6,1678941379267
27,0.35341861865735963,0.24543528164242878,0.3556303,0.2371409,0.13458345774633146,1.4970985039494824,0.363778680562973,LIFE_old,zero,rbf+linear,10,7,1678941381322
28,0.2849465112957567,0.20261414211258888,0.28563985,0.20509183,0.10004704292764222,1.313003723095886,-0.3333880305290222,LIFE_old,zero,rbf+linear,10,8,1678941383396
29,0.29110388847984214,0.17155873206113936,0.2904579,0.1705414,0.09351507542994796,0.9188028233016254,-0.14588317275047302,LIFE_old,zero,rbf+linear,10,9,1678941385447
30,2.513026015332896,1.8713165638134592,2.4702868,1.9925382,0.21080827121418083,1.0053451138600675,-0.45058193802833557,FEM_orbitrap_plasma,zero,rbf+linear,10,0,1678941387506
31,2.1319410776146808,1.4546254093849935,2.1681032,1.3898754,0.14147192225748395,0.8516989672436398,-0.45407411456108093,FEM_orbitrap_plasma,zero,rbf+linear,10,1,1678941389571
