system,rt_exper,Pubchem,cmm_id,rt_pred
FEM_long,1.3,971,70907.0,554.44635
FEM_long,16.4,313297,,635.1637
FEM_long,45.6,14445,,791.4926
FEM_short,12.07,1203,140027.0,701.0498
FEM_long,20.465,1203,140027.0,701.0498
MTBLS39,12.70926189,1203,140027.0,701.0498
FEM_short,15.99,367141,137201.0,781.14056
FEM_long,24.72,367141,137201.0,781.14056
FEM_long,24.86,367141,137201.0,781.14056
FEM_short,8.675,1249,90069.0,628.7042
FEM_long,16.505,1249,90069.0,628.7042
FEM_short,7.75,7424,131535.0,613.25885
FEM_long,14.3,7424,131535.0,613.25885
FEM_short,10.6,135,117389.0,618.1606
FEM_long,17.48,135,117389.0,618.1606
RIKEN,1.25,135,117389.0,618.1606
FEM_orbitrap_urine,5.2,135,117389.0,618.1606
FEM_short,14.2,5089891,,613.2919
FEM_long,22.7,5089891,,613.2919
MTBLS39,14.49005373,5089891,,613.2919
MTBLS39,20.31103792,5089891,,613.2919
FEM_short,8.53,53398694,,629.81305
FEM_long,15.5,53398694,,629.81305
FEM_short,18.42,393787,,638.8577
FEM_long,27.25,393787,,638.8577
MTBLS39,18.21287235,393787,,638.8577
MTBLS39,24.88485597,393787,,638.8577
FEM_short,20.37,5056,,734.21735
FEM_long,30.35,5056,,734.21735
Qtof-PFEM,10.98,5056,,734.21735
FEM_short,20.34,5281855,127550.0,658.5145
FEM_long,30.2,5281855,127550.0,658.5145
FEM_orbitrap_urine,8.11,5281855,127550.0,658.5145
FEM_short,15.55,282014,114881.0,708.9614
FEM_long,24.37,282014,114881.0,708.9614
FEM_short,12.19,5281416,132562.0,662.5057
FEM_long,20.13,5281416,132562.0,662.5057
MTBLS38,9.236587745,5281416,132562.0,662.5057
MTBLS38,9.234648177,5281416,132562.0,662.5057
FEM_orbitrap_plasma,5.5,5281416,132562.0,662.5057
IPB_Halle,3.4,5281416,132562.0,662.5057
FEM_short,11.84,69501207,,646.34735
FEM_long,19.5,69501207,,646.34735
FEM_short,12.6,5909448,,646.86597
FEM_long,20.87,5909448,,646.86597
FEM_short,21.13,3593,43403.0,797.0028
FEM_long,34.78,3593,43403.0,797.0028
FEM_short,20.53,13245586,15019.0,668.8809
FEM_long,31.53,13245586,15019.0,668.8809
FEM_short,20.59,6223069,136765.0,651.01636
FEM_long,31.7,6223069,136765.0,651.01636
FEM_short,17.61,5090283,,612.4507
FEM_long,26.13,5090283,,612.4507
FEM_short,20.285,5462193,81003.0,662.3516
FEM_long,31.25,5462193,81003.0,662.3516
FEM_short,20.49,12313332,116759.0,655.48785
FEM_long,31.35,12313332,116759.0,655.48785
FEM_short,19.73,5291488,133999.0,681.2635
FEM_long,28.06,5291488,133999.0,681.2635
UniToyama_Atlantis,11.151667,5291488,133999.0,681.2635
FEM_short,10.73,7428,,669.3743
FEM_long,18.2,7428,,669.3743
